"ENTITY","ID","CODE","NAME","STATUS","TYPE","DESCRIPTION","PURPOSE","START DATE","END DATE","CURRENCY","AMOUNT",""
"Neno District Council","39","NNDC/GESD PROJ/21-22/01 Lot 1","Namzanga Classroom Block Construction","implementation","construction","Construction of a classroom block at Namzanga Primary School","To improve learning space for school","2021-07-01","2022-03-31","MWK","35000000.00",""
"Chikwawa District Council","40","CKDC/DDF/CENTRAL/W/04","CONTRUCTION OF NDAKWERA TEACHER'S HOUSE","completed","construction","CONSTRUCTION OF NDAKWERA TEACHERS HOUSE, TTHREE BED ROOMS, STORES, KITCHEN","IT WILL ASSIST IN ACCOMODATION OF OUR TEACHER","2021-06-01","2021-08-30","MWK","9979580.00",""
"Zomba District Council","43","ZDC/NTONYA/RFQ/CDF/05/2021","Bridge Upgrading","completed","construction","Upgrading of a 5 span Timber Bridge to Concrete Status on Thondwe River","accessibility improvement","2021-06-21","2021-10-11","MWK","23800000.00",""
"Roads Authority","45","RA/DEV/2020-21/01","Rehabilitation and Widening of the (M1) Road from Kamuzu International Airport (KIA) Turn-Off to Kasungu being LOT 1 of the four LOTS comprising the entire project","implementation","rehabilitation","The rehabilitation and widening of the M1 road section from the turnoff to Kamuzu International Airport (KIA) to Kasungu referred to as Section 1  (or LOT 1 of the procurement procedure) of the project. The total length of the section is 102 km.","The primary economic function of the road is the long-distance transportation of import goods for Malawi from the port of Dar es Salaam. Fuel is the main product handled but the road also provides for the import of goods to the mining activities along the road corridor, and the export of agricultural products, in particular tobacco. The road is a major route from Lilongwe to the north and carries significant local traffic serving district administrative centers and trading centers along its route. The Ml through Malawi offers the shortest import/export route to Dar es Salaam for Zambia's agriculturally important Eastern Province.","2022-06-29","2024-12-15","EUR","41955796.40",""
"Roads Authority","46","RA/DEV/2020-21/02","Rehabilitation and Widening of the (M1) Road from Kasungu to Jenda (85.5km) being LOT 2 of the four LOTS","implementation","rehabilitation","The rehabilitation and widening of the M 1    road section from Kasungu to Jenda referred to as Section 2 (or LOT 2 of the procurement procedure) of the project. The total length of the section is 85.5 km.  The primary economic function of the road is the long-distance transportation of import goods for Malawi from the port of Dar es Salaam.  Fuel is the main product handled but the road also provides for the import of goods to the mining activities along the road corridor, and the export of agricultural products, in particular tobacco.  The road is a major route from Lilongwe to the north and carries significant local traffic serving district administrative centres and trading centers along its route.  The Ml through Malawi offers the shortest import/export route to Dar es Salaam for Zambia's agriculturally important Eastern Province.","Various forms of traffic make use of the project road. This includes heavy and light duty goods vehicles, buses, pickups, minibuses, passenger cars and non-motorised traffic (mainly bicycles and pedestrians).  There are large volumes of non-motorised traffic, with many trading centres and towns along the route.","2022-06-29","2023-09-22","EUR","32275046.54",""
"Roads Authority","48","RA/DEV/2020-2021/03","Rehabilitation and Widening of the (M1) Road from Jenda to Mzimba Turn Off being LOT 3 of the four LOTS comprising the entire project","implementation","rehabilitation","The rehabilitation and widening of the M1 road section from Jenda to Mzimba referred to as Section 3 (or LOT 3 of the procurement procedure) of the project. The total length of the section is 46.5 km.","The primary economic function of the road is the long-distance transportation of import goods for Malawi from the port of Dar es Salaam. Fuel is the main product handled but the road also provides for the import of goods to the mining activities along the road corridor, and the export of agricultural products, in particular tobacco. The road is a major route from Lilongwe to the north and carries significant local traffic serving district administrative centers and trading centers along its route. The Ml through Malawi offers the shortest import/export route to Dar es Salaam for Zambia's agriculturally important Eastern Province. Various forms of traffic make use of the project road. This includes heavy and light duty goods vehicles, buses, pickups, minibuses, passenger cars and non-motorised traffic (mainly bicycles and pedestrians). There are large volumes of non-motorised traffic, with many trading centres and towns along the route.","2022-06-29","2023-09-29","EUR","11506175.75",""
"Roads Authority","47","RA/DEV/2020-2021/04","Rehabilitation and Widening of the (M1) Road from Kacheche to Chiweta being LOT 4 of the four LOTS comprising the entire project","implementation","rehabilitation","The rehabilitation and widening of the M1 road section from Kacheche to Chiweta referred to as Section 4 (or LOT 4 of the procurement procedure) of the project. The total length of the section is 66.5 km.","The primary economic function of the road is the long-distance transportation of import goods for Malawi from the port of Dar es Salaam. Fuel is the main product handled but the road also provides for the import of goods to the mining activities along the road corridor, and the export of agricultural products, in particular tobacco. The road is a major route from Lilongwe to the north and carries significant local traffic serving district administrative centers and trading centers along its route. The Ml through Malawi offers the shortest import/export route to Dar es Salaam for Zambia's agriculturally important Eastern Province. Various forms of traffic make use of the project road. This includes heavy and light duty goods vehicles, buses, pickups, minibuses, passenger cars and non-motorised traffic (mainly bicycles and pedestrians). There are large volumes of non-motorised traffic, with many trading centres and towns along the route.","2022-06-29","2024-06-29","EUR","31887078.30",""
"Lilongwe City Council","50","ROADS/LCC///","UPGRADING OF  CITY ROADS TO BITUMEN STANDARD- AREA 25C","implementation","construction","Construction of Area 25C road to bitumen standard","to ensure roads are safe, cleaner and less congested","2021-07-15","2022-08-17","MWK","1900000.00",""
"Malawi Institute of Management (MIM)","55","MIM2202","Construction of Perimeter Fence","preparation","construction","Project involves construction of brick walled perimeter fence at the MIM Campus ,Kanengo-Lilongwe","Enhance campus security and ensure that there is a cordial coexistence between staff, students and surrounding communities","2022-10-02","2023-12-30","USN","10000.00",""
"Lilongwe City Council","17","LCC/STRLIGHT/002/IPDC/03/21","Installation of Solar Powered Street Lights at Area 18 Interchange","completed","construction","Installation of Solar Powered Street lights at area 18 interchange","Make roads safer, cleaner and less congested","2021-07-15","2021-09-16","MWK","97689606.00",""
"Lilongwe University of Agriculture and Natural Resources","61","LUANAR/IPDC/CONSTRUCTION/001","CONSTRUCTION OF A GATEWAY ADMINISTRATION BLOCK","implementation","construction","The main aim of the project is to Construct the Offices for the LUANAR","The offices are to be used by  the University  offices","2013-08-01","2022-08-26","MWK","100000000.00",""
"Lilongwe University of Agriculture and Natural Resources","63","LUANAR/IPDC/CONSTRUCTION/002","construction of ODeL area 47 builing","completion","construction","construction of offices and classrooms","To widen the ODeL teaching mechanism","2022-08-12","2022-08-26","MWK","4500000000.00",""
"Blantyre District Council","69","BT/","Mang""omba School block","implementation","construction","Construction of a two classroom block","Provide conducive learning environment","2022-07-15","2022-08-30","MWK","35000000.00",""
"Blantyre Water Board (BWB)","66","BWB/W/21","Construction of Independent Power Plant (IPP) for Blantyre Water Board","preparation","construction","The project aims to ensure provision of affordable and continuous water supply services through construction of 30MW Independent Power Plant. The project is being financed by EXIM Bank of India.","To reduce water production costs, and ensure un-interrupted water supply","2023-09-30","2025-03-31","USD","72000000.00",""
"Blantyre Water Board (BWB)","72","BWB/W/22","Construction of New Water Source on Shire River and associated infrastructure for Blantyre Water Board","preparation","construction","Construction of new intake at Mandiwa on Shire River, construction of transmission mains, construction of treatment works at Walkers Ferry and Service Reservoirs. The project is being financed by EXIM Bank of India.","To increase water production capacity to keep pace with the growing demand  on water in the city of Blantyre and surrounding areas, projected at 230,000 cubic meters per day by the year 2040","2023-01-01","2026-11-30","USD","78000000.00",""
"Balaka District Council","80","BDC/RFQ/IPDC/GESD/2021-2022/06","MBERA RESOURCE CENTRE","implementation","construction","CONSTRUCTION OF MBERA RESOUCE CENTRE CLASS ROOM BLOCK AND 2 VIP  PITLATRINE TOILETS","IMPROVING ACCESS TO INFORMATION","2021-12-13","2022-03-30","MWK","27931635.00",""
"Balaka District Council","81","BDC/RFQ/IPDC/GESD/2021-2022/01","CHIMATIRO MATERNITY WING","implementation","construction","CONSTRUCTION OF CHIMATIRO MATERNITY WING, SEPTIC TANK, PLACENTA PIT AND WATER TANK","IMPROVING ACCESS TO MATERNAL HEALTH","2021-12-13","2022-04-30","MWK","44155453.17",""
"Balaka District Council","84","BDC/RFQ/IPDC/GESD/2021-2022/05","KACHENGA MARKET SHED","implementation","construction","CONSTRUCTION OF MARKET SHED","IMPROVING REVENUE COLLECTION THROUGH SAFE AND GOOD MARKETING INFRASTRUCTURE","2021-12-13","2022-03-30","MWK","16251564.00",""
"Southern Region Water Board (SRWB)","85","MoD/W/004/2021","REHABILITATION AND MAINTENANCE OF  WATER SUPPLY  SYSTEM AT COBBE BARRACKS IN ZOMBA","implementation","rehabilitation","REHABILITATION OF WATER SUPPLY DISTRIBUTION NETWORK, INSTALLATION OF PREPAID WATER METERS AND PLUMBING FITTINGS AT COBBE BARRACKS IN ZOMBA","Improvement of water supply and reduction of non-revenue water at Cobbe Barracks","2022-04-11","2023-04-11","MWK","1677652941.40",""
"Electricity Generation Company (Malawi) Limited (EGENCO","87","EG-BWB 001","HOUSE METERING","preparation","replacement","installing water meters in staff houses at Nkula and Tedzani Power Stations","Cost saving on water bills","2022-09-01","2022-12-31","MWK","48000000.00",""
"Zomba District Council","88","ZADC/GESD/DDF/W/2021/2022/1","Chanda Health Post","completion","construction","Construction of a Health Post at Chanda","To provide Health Services to the community.","2022-02-01","2022-05-30","MWK","49322206.40",""
"Balaka District Council","91","BDC/RFQ/IPDC/GESD/2021-2022/04","CHIDZANJA MARKET SLAUGHTER HOUSE","implementation","construction","CONSTRUCTION OF SLAUGHTER HOUSE AND A VIP PIT LATRINE","IMPROVING REVENUE GENERATION","2021-12-13","2022-03-30","MWK","15826942.95",""
"Balaka District Council","94","BDC/RFQ/IPDC/GESD/2021-2022/03","SEMI-DETTACHED COMMERCIAL SHOPS","implementation","construction","CONSTRUCTION OF SEMI-DETTACHED COMMERCIAL SHOPS","IMPROVING REVENUE GENERATION","2021-12-13","2022-03-30","MWK","21505036.35",""
"ZOMBA CITY COUNCIL","97","ZCC","Namiwawa Road Dualisation","implementation","construction","Dual carriage of 800m tarmac and solar street lighting installation.","Increase surface area for Trade and  Reduction in heavy congestion  in Central Business District.","2022-02-18","2022-08-18","MWK","1200000000.00",""
"Electricity Generation Company (Malawi) Limited (EGENCO","95","EGC 122/ICB/RFP/FY2022-23","The Rehabilitation/Modernisation Of Spillway And Intake Equipment Of Nkula B Hydropower Plant In Malawi","identification","rehabilitation","CONSULTANCY SERVICES THE REFURBISHMENT & MODERNISATION OF SPILLWAY AND INTAKE EQUIPMENT OF NKULA B HYDROPOWER PLANT IN MALAWI","Spillway and Intake Gates for Nkula B Power Plant were commissioned in 1979. The gates and associated equipment have outlived their useful life, leading to frequent breakdowns. As such, the equipment is due for refurbishment and modernization.","2022-11-01","2023-05-01","USD","200000.00",""
"Electricity Generation Company (Malawi) Limited (EGENCO","83","090143555","Malawi Energy Restoration Project","implementation","rehabilitation","Malawi Energy Restoration Project is an emergency project that is aimed at rehabilitating the Kapichira dam to enable power generation. The Malawi Government with loan of $40 million from the World Bank intents to implement this project as a matter of emergency.","The project aims to restore power generation at Kapichira Powerstation. Kapichira Dam was destroyed by Cycle Ana during the January 2022 floods","2022-07-01","2025-12-31","USD","40000000.00",""
"Electricity Generation Company (Malawi) Limited (EGENCO","105","EGC 188/ICB-T/W/FY2019-20","RESURFACING OF NKULA POWER STATION ROADS","preparation","rehabilitation","RESURFACING OF NKULA POWER STATION ROADS","Resurfacing Of Nkula Roads To Ease Movement Around The Power Station.","2022-09-01","2023-03-28","MWK","839699545.59",""
"Electricity Generation Company (Malawi) Limited (EGENCO","68","EG001","New TEDZANI Clinic","completion","construction","New Clinic at Tedzani","To Provide medical services to members of staff and their dependants","2021-07-01","2022-08-31","MWK","350000000.00",""
"Directorate of Buildings (DoB)","6","24/2019","Construction of Aquatic Complex","implementation","construction","Swimming Pools and Ancillary Works","To provide international swimming competition and recreation","2021-06-01","2022-08-05","MWK","8212029659.69",""
"Directorate of Buildings (DoB)","78","18/2020","construction of security houses for malawi police","implementation","construction","houses for senior and junior staff","provide housing to security officers","2022-03-21","2023-04-29","MWK","3866876304.68",""
"Lilongwe City Council","111","LCC/IPDC193/03/21","REHABILITATION OF AREA 49 OLD GULLIVER ROAD","completion","rehabilitation","Rehabilitation of area 49 old gulliver road 2.1km to Asphalt standard","Helping to ease transportation of goods and services and facilitate and improve health and social economic growth in urban areas","2021-10-18","2022-03-18","MWK","937906142.25",""
"Lilongwe City Council","114","LCC/IPDC193/03/21","UPGRADING OF AREA 25C/DZENZA ROAD","completion","construction","Upgrading of area 25C dzenza to bituminous standard by dika construction and being supervised by PJK & P consulting services approximately 3.8km","This development will help to ease transportation of goods and services and facilities and improve health and social-economic growth in urban areas.","2021-10-18","2022-03-18","MWK","1668599501.25",""
"Kasungu District Council","118","001/GESD/53085/10/21/701","Construction of Santhe Community Ground","implementation","construction","Construction of perimeter fence, covered stand and football pitch","To provide social entertainment to the community in kasungu","2021-12-01","2023-04-01","MWK","300000000.00",""
"Northern Region Water Board (NRWB)","119","NRWB/KA","Karonga Town Water Supply Project","implementation","construction","Northern Region Water Board is implementing Karonga Town Water Supply Project in Karonga Town and surrounding areas. The project is financed by Arab Bank for Economic Development in Africa (BADEA), OPEC Fund for International Development (OFID) and the Malawi Government (GoM) at a total cost of MK19.5billion (USD26.7 million).","The aim of the project is to contribute to the economic development of Malawi by improving the health and livelihoods of the residents of Karonga Town and surrounding areas through rehabilitation and expansion of the existing water supply system in order to provide reliable and sustainable potable water services. The number of beneficiaries will be 184,000 by year 2035.","2019-08-23","2024-10-30","USD","26700000.00",""
"Northern Region Water Board (NRWB)","117","NRWB/NB","Nkhata Bay Town Water Supply and Sanitation Project","implementation","construction","Nkhata Bay Town Water Supply and Sanitation Project (NTWSSP), is being implemented by Northern Region Water Board (NRWB) and co-financed by African Development Bank (AfDB), OPEC Fund for International Development (OPEC Fund) and the Malawi Government (GoM) at a total cost of US$30.55 million (US$ 15.1 million from AfDB, US$12 million from OFID and US$3.45 million from GoM).","The project will improve the health and livelihoods of the residents of Nkhata Bay Town and surrounding areas through access to potable and sustainable water supply and improved sanitation services. This will impact positively to 105,000 beneficiaries of Nkhata Bay Town and surrounding areas whose population by year 2040. The project was declared effective on 4th March 2019 having fulfilled the conditions precedent. The project completion date is 31st December 2022 with 30th June 2023 as date of last disbursement.","2019-07-01","2024-06-30","USD","30550000.00",""
"Karonga District Council","124","KADC/DDF/GESD/MUKOLE CL/2021-22/002","MUKOLE JUNIOR PRIMARY SCHOOL","implementation","construction","Construction of one double classroom block, one double VIP toilet and procurement of desks","Provide conducive teaching and learning environment for both teachers and learners","2022-01-28","2022-04-28","MWK","30000000.00",""
"Mchinji District Council","121","KSCDF2022","Construction of Kapiri Stadium","implementation","construction","Adding some structures to Kapiri community ground","To enable the community ground host some local sports events","2022-06-12","2022-10-12","MWK","50000000.00",""
"Zomba District Council","131","ZDC/GESD/DDF/W/2021/2022/2","Katsonga Girls Hostel fence","completion","construction","A fence for Katsonga girls hostel","for security","2022-01-01","2022-05-30","MWK","40612245.10",""
"ZOMBA CITY COUNCIL","135","TD-OX/ZCC/21/172/LLW-MW/003","Construction and Rehabilitation of Drainage Channels in Sadzi Ward","completion","construction","new drainage channels and rehabilitating old existing channels which were damaged by heavy rains cyclones","To provide proper channels of water run off to minimize disasters during rainy season.","2021-10-08","2022-03-27","MWK","56281150.00",""
"ZOMBA CITY COUNCIL","98","ZCC/","Upgrading of Mpoto road from  earth to Bituminous road with asphalt finish","implementation","construction","Construction of a 3.5 Kilometer road with asphalt finish, with","Decongestion of traffic in Zomba City","2022-03-14","2022-07-28","MWK","1209664562.00",""
"Malawi University of Science and Technology (MUST)","134","WORLDBANK/SAVE/MUST/LT/2022","Construction of a 500 Seater Lecture Threatre","preparation","construction","A single Building with two large rooms each with a seating capacity of at least 250 students which will be used for teaching and learning and conferencing for larger groups of students and other stakeholders. The Lecture theatre design will be based on that of the auditorium, designed for an audience and performer relationship, providing students/spectators with excellent visibility of the main stage or platform. The lecture theatres shall be installed with tiered seating, enabling those sitting right at the back to be able to see and hear what is happening at the front.","The Lecture Theatres shall be used for the following Purposes  i.	Teaching and presenting ii.	Performances iii.	Staff meetings iv.	Drama classes v.	Interactive learning and discussion","2022-07-01","2025-06-19","USD","2650000.00",""
"Lilongwe District Council","142","GESD/05G/1","Construction of a Chief's Conference hall and 2 VIP toilets at Msinja Headquarters","completed","construction","construction of a chief's office block that has a conference hall, clerk's office and a Chief's office together with 2 VIP Toilets outside","to provide a formal meeting place for the Senior Chief and his subjects","2021-11-14","2022-02-12","MWK","25500000.00",""
"Lilongwe District Council","146","GESD/04G/2","Construction of an OPD block at Chitsime Health Centre","completed","construction","construction of an Outpatient department office block","to improve health care provision services","2022-02-16","2022-05-17","MWK","45000000.00",""
"Lilongwe District Council","56","GESD/01G/1","Construction of classroom block at Phirilanjuzi Primary school","completed","construction","This project involves construction of a two roomed classroom block at Phirilanjuzi Primary school in Traditional authority Masumbankhunda","This project aims at reducing the high pupil to classroom ratio","2021-11-14","2022-02-12","MWK","25000000.00",""
"Lilongwe District Council","136","GESD/01G/2","Construction of a Classroom block at Mwenda primary school","completed","construction","Construction of a two roomed classroom block at Mwenda primary school at T/A Chadza","reduction of the high pupil to classroom ratio","2022-01-20","2022-04-20","MWK","25000000.00",""
"Lilongwe District Council","138","GESD/03G/4","Construction of a concrete deck foot bridge at Mbabvi foot bridge","completed","construction","construction of a concrete deck foot bridge at Mbabvi river in T/A njewa","to improve quality of mobility of people during rainy season","2021-11-14","2022-02-12","MWK","25000000.00",""
"Lilongwe District Council","144","GESD/O6G/2","Construction of A vendor's Market shed at Namitete Market","completed","construction","Construction of a vendor's market shed","to provide a suitable trading place for local suppliers and consumers","2021-11-14","2022-02-12","MWK","34500000.00",""
"Lilongwe District Council","147","GESD/O3G/2","Construction of a box culvert at Kasanda River","completed","construction","Construction of a box culvert at Kasanda river and other associated works","to improve mobility of people and vehicles during wet season","2021-11-14","2022-02-12","MWK","25859250.00",""
"Lilongwe District Council","148","DDF/04D","Construction of a fence and 2 VIP toilets at Kabudula  Community Hospital","completed","construction","construction of a fence and 2 VIP Toilets","To ensure the safety of the people in the guardian shelter","2021-11-14","2022-02-12","MWK","25000000.00",""
"Lilongwe District Council","149","GESD/05G/2","Construction of an office block for a  Police unit at Mkoma school in T/A Chimutu","completed","construction","construction of an office block and 2 VIP Toilets","to make police services easily accessible to those in the area","2021-11-14","2022-02-12","MWK","25500000.00",""
"Lilongwe City Council","150","LCC/IPDC/196/03/21","Construction of mtandire to Airwing Road- Lot 4","implementation","construction","Construction/upgrading of 6km Road that starts from mtandire - Airwing to bituminious standard. The works are carried out by FNC/Meshos JV and are supervised by L Gravam Consulting Services.","To provide ease transportation of goods and services and improve the living starndard of people aswel as promoting socio-economic growth.","2022-05-13","2022-11-09","MWK","3056571967.63",""
"Lilongwe District Council","139","GESD/02G/2","Construction of a staff house at Matapila Health Centre","completed","construction","construction of a staff house at Matapila Health Centre in traditional authority Mazengera","to help with the accommodation of heath care personnel so as to reduce time taken to reach duty station","2022-01-12","2022-04-12","MWK","26500000.00",""
"Mzuzu City Council","123","MCC/WORKS/21/07/01  LOT 3","UPGRADING OF DUNDUZU-NKHORONGO TO CHOMA TURN-OFF ROAD","implementation","construction","Upgrading from earth road to bitumen standard","To ease mobility challenges and spur economic developments through businesses and transportation of agricultural produce.","2022-07-15","2024-07-15","MWK","3035607394.50",""
"Lilongwe District Council","154","GESD/02G/1","Construction of a staff house at Mngoni health centre","completed","construction","Construction of a staff house","to help with the accommodation of heath care personnel so as to reduce time taken to reach duty station","2021-11-14","2022-02-12","MWK","26500000.00",""
"Lilongwe District Council","156","DDF/03D/4","Construction of a traditional court at Mpenu Headquarters T/A Mazengera","completed","construction","Construction of a traditional court and two VIP Toilets","to provide a proper place for traditional court cases to be heard and judged","2021-11-15","2022-02-13","MWK","25000000.00",""
"Mzuzu City Council","158","MCC/W/CO/20/08/01","CONSTRUCTION OF MZUZU CITY COUNCIL CIVIC OFFICE COMPLEX","implementation","construction","Construction of ground plus two storey buildings to accomodate all departments at Mzuzu City Council with conference rooms","To improve office space as a motivation for staff. At the end this will be one stop centre for servicing the city.","2022-06-01","2024-06-01","MWK","12193720226.37",""
